Timestamp|Source IP|Client MAC|Interface
2026-06-01T08:00:58.113|10.0.1.42|aa:bb:11:22|WiFi-Corp
2026-06-01T08:03:44.009|10.0.1.87|cc:dd:33:44|WiFi-Corp
2026-06-01T08:07:28.771|192.168.4.2|ee:ff:55:66|Guest-Net
2026-06-01T08:07:40.002|192.168.4.2|ee:ff:55:66|Guest-Net
2026-06-01T08:08:00.556|192.168.4.2|ee:ff:55:66|Guest-Net
2026-06-01T08:14:33.882|10.0.2.11|11:22:aa:bb|WiFi-Corp
2026-06-01T08:21:07.003|10.0.1.55|33:44:cc:dd|WiFi-Corp
2026-06-01T08:39:55.441|10.0.1.87|cc:dd:33:44|WiFi-Corp
2026-06-01T09:00:14.228|10.0.3.99|55:66:ee:ff|WiFi-Corp
2026-06-01T09:09:48.774|10.0.3.99|55:66:ee:ff|WiFi-Corp
